"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"release_fact","GTA 6 release date","GTA VI release date;Grand Theft Auto 6 release date","gta-6-release-date","release_fact","date","Grand Theft Auto VI releases worldwide on 19 November 2026, confirmed directly by Rockstar Games.","Rockstar Games and Take-Two Interactive confirmed Grand Theft Auto VI will launch on Thursday, 19 November 2026, on PlayStation 5 and Xbox Series X|S. The date followed two prior delays from an original fall 2025 target, first to 26 May 2026 and then to the current November date. Rockstar stated the additional time was needed for polish. The date has been reaffirmed since by Take-Two leadership on an earnings call, with no further delay announced as of this record.","19 November 2026 release date;originally targeted fall 2025;delayed once to 26 May 2026;delayed again to 19 November 2026;PS5 and Xbox Series X|S only at launch","","Newswire Post","2026-06-24","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/newswire/article/5171972o3ak5oa/pre-order-grand-theft-auto-vi-on-june-25","2026-06-24","HIGH","YES","GTA 6 platforms;GTA 6 delay history","gta 6 release date;gta6 release date;gta vi release date;when does gta 6 come out;grand theft auto 6 release date;gta 6 launch date november 19","")
"release_fact","GTA 6 platforms","GTA VI platforms","gta-6-platforms","release_fact","platform","GTA VI launches only on PlayStation 5 and Xbox Series X|S; no PC version has been announced or dated.","At launch on 19 November 2026, Grand Theft Auto VI will be available exclusively on PlayStation 5 and Xbox Series X|S. Rockstar Games has not announced a PC version, and no PC release date, price, or specification list exists. Press coverage of the June 2026 pre-order launch and UK pricing confirmed these are the only two platforms buyers can pre-order the game for. Any claim of a confirmed PC version or PC pricing ahead of an official Rockstar announcement should be treated as unverified.","PS5 confirmed;Xbox Series X|S confirmed;no PC version announced;no PC release date exists;standard and Ultimate Editions both console-only at launch","","Official Site","2026-06-24","OFFICIAL_CONFIRMED","TIER_2_MAJOR_PRESS","https://www.techradar.com/gaming/ps5/gta-6-uk-pre-orders-are-live-and-we-finally-have-a-price-heres-where-you-can-order-it-and-what-it-costs","2026-06-25","HIGH","NO","GTA 6 release date;GTA 6 PC availability","gta 6 platforms;gta 6 pc release;is gta 6 on pc;gta 6 ps5 xbox only;gta vi platforms;gta 6 pc version","")
"release_fact","GTA 6 pre-order open date","GTA VI pre-order date","gta-6-preorder-open-date","release_fact","date","Pre-orders for Grand Theft Auto VI opened worldwide at midnight local time on 25 June 2026.","Rockstar Games opened pre-orders for Grand Theft Auto VI on 25 June 2026 across the PlayStation Store, Xbox Store, the Rockstar Games Store, and major retailers. The Newswire post announcing pre-orders also detailed the Standard and Ultimate Editions, their prices, and the Vintage Vice City pre-order pack. Pre-orders placed before 20 November 2026 qualify for the Vintage Vice City pack bonus content.","pre-orders opened 25 June 2026;available on PlayStation Store, Xbox Store and Rockstar Store;Vintage Vice City pack included with pre-orders placed before 20 November 2026;announced via Rockstar Newswire","","Newswire Post","2026-06-24","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/newswire/article/5171972o3ak5oa/pre-order-grand-theft-auto-vi-on-june-25","2026-06-24","HIGH","YES","GTA 6 Standard Edition;GTA 6 Ultimate Edition;Vintage Vice City Pack","gta 6 pre order date;gta 6 preorder;when can i preorder gta 6;gta vi pre order june 25;gta 6 pre order open","")
"release_fact","GTA 6 preload date","GTA VI preload date","gta-6-preload-date","release_fact","date","Digital pre-order customers can begin preloading Grand Theft Auto VI from 12 November 2026, one week before launch.","Rockstar confirmed that players who pre-order a digital copy of Grand Theft Auto VI can begin preloading the game starting Thursday, 12 November 2026, exactly one week ahead of the 19 November release. Preloads begin at midnight local time, so exact availability varies by region. A physical boxed edition also goes on sale 12 November containing a download code rather than a disc, allowing buyers to redeem the code and start the same preload.","preload begins 12 November 2026;one week before the 19 November launch;starts at midnight local time;physical boxed copies ship with a download code, not a disc, for the same preload window","","Official Site","2026-06-24","OFFICIAL_CONFIRMED","TIER_2_MAJOR_PRESS","https://www.gamespot.com/articles/gta-6-preloading-start-date-and-what-to-know-about-digital-and-physical-copies/","2026-06-25","HIGH","NO","GTA 6 release date;GTA 6 pre-order open date","gta 6 preload date;gta 6 preload time;when can i preload gta 6;gta vi preload november 12","")
"release_fact","GTA 6 price in USD","GTA VI price USD","gta-6-price-usd","release_fact","price","GTA 6 Standard Edition costs 79.99 USD and the Ultimate Edition costs 99.99 USD in the United States.","Rockstar Games confirmed United States pricing for Grand Theft Auto VI in its 24 June 2026 pre-order Newswire post: the Standard Edition is 79.99 USD and the Ultimate Edition, which adds the Ultimate Edition Upgrade, is 99.99 USD. This is a 10 USD increase over the 69.99 USD standard price common for current-generation titles. The Ultimate Edition Upgrade can also be purchased separately after launch, and Standard Edition owners can upgrade to Ultimate at any time.","Standard Edition 79.99 USD;Ultimate Edition 99.99 USD;10 USD above the prior 69.99 USD console standard;Ultimate Upgrade purchasable separately or after launch","","Newswire Post","2026-06-24","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/newswire/article/5171972o3ak5oa/pre-order-grand-theft-auto-vi-on-june-25","2026-06-24","HIGH","YES","GTA 6 Standard Edition;GTA 6 Ultimate Edition","gta 6 price;gta 6 price usd;how much does gta 6 cost;gta 6 79.99;gta vi price dollars;gta 6 ultimate edition price","")
"release_fact","GTA 6 price in GBP","GTA VI price UK","gta-6-price-gbp","release_fact","price","GTA 6 Standard Edition costs GBP 69.99 and the Ultimate Edition costs GBP 89.99 in the United Kingdom.","UK pricing for Grand Theft Auto VI was confirmed alongside the 25 June 2026 pre-order launch: the Standard Edition is priced at GBP 69.99 and the Ultimate Edition at GBP 89.99. These prices are consistent across PlayStation Store, Xbox Store, and major UK retailers including Amazon UK, Argos and GAME, all offering the same editions on PS5 and Xbox Series X|S.","Standard Edition GBP 69.99;Ultimate Edition GBP 89.99;consistent across PlayStation Store, Xbox Store, Amazon UK, Argos and GAME;pre-orders opened 25 June 2026","","Official Site","2026-06-25","OFFICIAL_CONFIRMED","TIER_2_MAJOR_PRESS","https://www.techradar.com/gaming/ps5/gta-6-uk-pre-orders-are-live-and-we-finally-have-a-price-heres-where-you-can-order-it-and-what-it-costs","2026-06-25","HIGH","NO","GTA 6 price in USD;GTA 6 Standard Edition;GTA 6 Ultimate Edition","gta 6 price uk;gta 6 price gbp;gta 6 cost uk;how much is gta 6 in the uk;gta vi price pounds","")
"release_fact","GTA 6 price in INR","GTA VI price India","gta-6-price-inr","release_fact","price","GTA 6 Standard Edition is priced at Rs 5,999 and the Ultimate Edition at Rs 7,499 for PS5 and Xbox Series X|S in India.","Rockstar opened Indian pre-orders on 25 June 2026 alongside the rest of the world, with the Standard Edition listed at Rs 5,999 and the Ultimate Edition at Rs 7,499 on the PlayStation Store, Microsoft Store, the Rockstar Store and major Indian retailers. Press coverage at the time of the pre-order launch reported these figures directly from the storefront listings rather than from estimate or conversion.","Standard Edition Rs 5,999;Ultimate Edition Rs 7,499;listed on PlayStation Store, Microsoft Store and Rockstar Store;launch date 19 November 2026 unchanged for India","","Official Site","2026-06-25","PRESS_REPORTED","TIER_3_COMMUNITY","https://www.91mobiles.com/gaming/gta-6-pre-orders-begin-india-official-pricing/","2026-06-25","MEDIUM","NO","GTA 6 price in USD;GTA 6 Standard Edition;GTA 6 Ultimate Edition","gta 6 price in india;gta 6 kitne ka hai;gta 6 price india rupees;gta 6 india cost;gta vi price india 5999","")
"release_fact","GTA 6 price in CAD","GTA VI price Canada","gta-6-price-cad","release_fact","price","GTA 6 Standard Edition is listed at CA$109.99 and the Ultimate Edition at CA$139.99 in Canada, before tax.","Canadian pricing reported at the time of the 25 June 2026 pre-order launch places the Standard Edition at CA$109.99 and the Ultimate Edition at CA$139.99, with applicable sales tax added at checkout on storefronts such as the PlayStation Store and Xbox Store. These figures were sourced from press coverage of the global pricing rollout rather than a direct Rockstar Canadian price sheet.","Standard Edition CA$109.99;Ultimate Edition CA$139.99;tax added at checkout;reported alongside the worldwide 25 June 2026 pre-order launch","","Official Site","2026-06-25","PRESS_REPORTED","TIER_3_COMMUNITY","https://stevivor.com/features/in-depth/grand-theft-auto-6-pricing-physical-digital-only-pre-order-bonus-pricing-australia-pricing-new-zealand/","2026-06-25","MEDIUM","NO","GTA 6 price in USD;GTA 6 Standard Edition;GTA 6 Ultimate Edition","gta 6 price canada;gta 6 price cad;how much is gta 6 in canada;gta vi canadian dollars","")
"release_fact","GTA 6 price in AUD","GTA VI price Australia","gta-6-price-aud","release_fact","price","GTA 6 Standard Edition is listed at AU$129.95 and the Ultimate Edition at AU$159.95 in Australia, GST included.","Australian pricing reported around the 25 June 2026 pre-order launch places the Standard Edition at AU$129.95 and the Ultimate Edition at AU$159.95, with the 10 percent GST already included in the listed price. Coverage of the same regional pricing rollout also noted a New Zealand price of roughly NZ$140 for the Standard Edition, though that figure is less firmly sourced than the Australian one.","Standard Edition AU$129.95;Ultimate Edition AU$159.95;GST included;reported alongside the worldwide 25 June 2026 pre-order launch","","Official Site","2026-06-25","PRESS_REPORTED","TIER_3_COMMUNITY","https://stevivor.com/features/in-depth/grand-theft-auto-6-pricing-physical-digital-only-pre-order-bonus-pricing-australia-pricing-new-zealand/","2026-06-25","MEDIUM","NO","GTA 6 price in USD;GTA 6 Standard Edition;GTA 6 Ultimate Edition","gta 6 price australia;gta 6 price aud;how much is gta 6 in australia;gta vi australian dollars","")
"release_fact","GTA 6 price in EUR","GTA VI price Europe","gta-6-price-eur","release_fact","price","GTA 6 Standard Edition is listed at EUR 79.99 and the Ultimate Edition at EUR 99.99 across Eurozone storefronts.","Retailer listings across the Eurozone, including Amazon Germany, showed the Standard Edition at EUR 79.99 and the Ultimate Edition at EUR 99.99 at the time pre-orders opened on 25 June 2026, matching the numeric figure of the US dollar price rather than a currency-converted amount. This was reported through aggregated press coverage of the worldwide pricing rollout rather than a single official Rockstar Eurozone price sheet.","Standard Edition EUR 79.99;Ultimate Edition EUR 99.99;price matches the US dollar figure numerically;seen on Amazon DE, Fnac and Micromania listings","","Official Site","2026-06-25","PRESS_REPORTED","TIER_3_COMMUNITY","https://beebom.com/gta-6-global-prices-list/","2026-06-25","MEDIUM","NO","GTA 6 price in USD;GTA 6 Standard Edition;GTA 6 Ultimate Edition","gta 6 price europe;gta 6 price eur;gta 6 preis;how much is gta 6 in euros;gta vi price germany france","")
