"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"character","Andrés de León","","andres-de-leon","Megamundo","","Andrés de León is a character listed for GTA 6 on the GTA Fandom wiki.","Andrés de León appears on the GTA Fandom wiki as a Grand Theft Auto VI character. The wiki lists an affiliation with Megamundo. The wiki records the character as male. No voice actor is given. Rockstar has named very few of the GTA 6 cast. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Affiliation: Megamundo;Voice actor: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Andr%C3%A9s_de_Le%C3%B3n","2026-09-13","LOW","NO","Megamundo","gta 6 andrés de león;andrés de león gta 6;who is andrés de león gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
"character","Dolls of Destruction","","dolls-of-destruction","","","Dolls of Destruction is a character listed for GTA 6 on the GTA Fandom wiki.","Dolls of Destruction appears on the GTA Fandom wiki as a Grand Theft Auto VI character. No voice actor is given. Rockstar has named very few of the GTA 6 cast. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Voice actor: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Dolls_of_Destruction","2026-09-13","LOW","NO","","gta 6 dolls of destruction;dolls of destruction gta 6;who is dolls of destruction gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
"character","Erin Henshaw","","erin-henshaw","Allied Crystal","Politician","Erin Henshaw is a character listed for GTA 6 on the GTA Fandom wiki, given as a politician.","Erin Henshaw appears on the GTA Fandom wiki as a Grand Theft Auto VI character. The occupation given is Politician. The wiki lists an affiliation with Allied Crystal. No voice actor is given. Rockstar has named very few of the GTA 6 cast. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Occupation: Politician;Affiliation: Allied Crystal;Voice actor: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Erin_Henshaw","2026-09-13","LOW","NO","Allied Crystal","gta 6 erin henshaw;erin henshaw gta 6;who is erin henshaw gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
"character","Jack Howitzer","","jack-howitzer","Rufus Bellows","Film actor, TV show host","Jack Howitzer is a character listed for GTA 6 on the GTA Fandom wiki, given as a film actor, tv show host.","Jack Howitzer appears on the GTA Fandom wiki as a Grand Theft Auto VI character. The occupation given is Film actor, TV show host. The wiki lists an affiliation with Rufus Bellows, Ho Chi Sock. The wiki records the character as male. The voice actor is given as Randy Pearlstein. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Occupation: Film actor, TV show host;Affiliation: Rufus Bellows, Ho Chi Sock;Voice actor: Randy Pearlstein;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Jack_Howitzer_(HD_Universe)","2026-09-13","LOW","NO","Rufus Bellows;Ho Chi Sock","gta 6 jack howitzer;jack howitzer gta 6;who is jack howitzer gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
"character","Kenny Brewster","","kenny-brewster","","Musician","Kenny Brewster is a character listed for GTA 6 on the GTA Fandom wiki, given as a musician.","Kenny Brewster appears on the GTA Fandom wiki as a Grand Theft Auto VI character. The occupation given is Musician. The wiki records the character as male. No voice actor is given. Rockstar has named very few of the GTA 6 cast. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Occupation: Musician;Voice actor: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Kenny_Brewster","2026-09-13","LOW","NO","","gta 6 kenny brewster;kenny brewster gta 6;who is kenny brewster gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
"character","Méndez","","mendez","Vice City Police Department","Police officer","Méndez is a character listed for GTA 6 on the GTA Fandom wiki, given as a police officer.","Méndez appears on the GTA Fandom wiki as a Grand Theft Auto VI character. The occupation given is Police officer. The wiki lists an affiliation with Vice City Police Department. The wiki records the character as male. No voice actor is given. Rockstar has named very few of the GTA 6 cast. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Occupation: Police officer;Affiliation: Vice City Police Department;Voice actor: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Mendez","2026-09-13","LOW","NO","Vice City Police Department","gta 6 méndez;méndez gta 6;who is méndez gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
"character","Petra Navarro","","petra-navarro","Lucia Caminos","COO","Petra Navarro is a character listed for GTA 6 on the GTA Fandom wiki, given as a coo.","Petra Navarro appears on the GTA Fandom wiki as a Grand Theft Auto VI character. The occupation given is COO. The wiki lists an affiliation with Lucia Caminos, Jason Duval, Andrés de León. The wiki records the character as female. No voice actor is given. Rockstar has named very few of the GTA 6 cast. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Occupation: COO;Affiliation: Lucia Caminos, Jason Duval, Andrés de León;Voice actor: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Petra_Navarro","2026-09-13","LOW","NO","Lucia Caminos;Jason Duval;Andrés de León","gta 6 petra navarro;petra navarro gta 6;who is petra navarro gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
"character","Phil","","phil","","Weapons seller","Phil is a character listed for GTA 6 on the GTA Fandom wiki, given as a weapons seller.","Phil appears on the GTA Fandom wiki as a Grand Theft Auto VI character. The occupation given is Weapons seller. The wiki records the character as male. No voice actor is given. Rockstar has named very few of the GTA 6 cast. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Occupation: Weapons seller;Voice actor: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Phil_(GTA_VI)","2026-09-13","LOW","NO","","gta 6 phil;phil gta 6;who is phil gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
"character","Raymond","","raymond","San4San","Drug dealer","Raymond is a character listed for GTA 6 on the GTA Fandom wiki, given as a drug dealer.","Raymond appears on the GTA Fandom wiki as a Grand Theft Auto VI character. The occupation given is Drug dealer. The wiki lists an affiliation with San4San, Boobie Ike, Ernesto, Jason Duval, Lucia Caminos. The wiki records the character as male. No voice actor is given. Rockstar has named very few of the GTA 6 cast. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Occupation: Drug dealer;Affiliation: San4San, Boobie Ike, Ernesto, Jason Duval, Lucia Caminos;Voice actor: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Raymond_(GTA_VI)","2026-09-13","LOW","NO","San4San;Boobie Ike;Ernesto;Jason Duval;Lucia Caminos","gta 6 raymond;raymond gta 6;who is raymond gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
"character","Rudi","","rudi","","","Rudi is a character listed for GTA 6 on the GTA Fandom wiki.","Rudi appears on the GTA Fandom wiki as a Grand Theft Auto VI character. The wiki records the character as male. No voice actor is given. Rockstar has named very few of the GTA 6 cast. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Voice actor: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Rudi","2026-09-13","LOW","NO","","gta 6 rudi;rudi gta 6;who is rudi gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/characters), derived from GTA Wiki, CC BY-SA 3.0."
