"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"song","Love Is a Long Road","","love-is-a-long-road","song","heartland rock","A 1989 Tom Petty song from Full Moon Fever that soundtracked the first official GTA VI trailer in December 2023.","""Love Is a Long Road"" is a track from Tom Petty's 1989 solo debut album Full Moon Fever. Rockstar Games used the song as the backing music for the first Grand Theft Auto VI trailer, released in December 2023. Tom Petty's official site confirmed the placement the same day, noting it followed his earlier GTA use, ""Runnin' Down a Dream,"" in GTA: San Andreas. The song's lyrics about long roads and doing right resonated with fans as a thematic fit for the game's Florida-inspired setting and its two protagonists, Jason and Lucia. Spotify reported streams of the song rose by roughly 36,979 percent in the week after the trailer's release.","Artist: Tom Petty; Original release: 1989, album Full Moon Fever; Appeared in: GTA VI Trailer 1 (December 2023); Petty previously featured in GTA San Andreas with ""Runnin' Down a Dream""; Streams rose about 36,979% on Spotify after the trailer","Tom Petty","Trailer 1","2023-12-05","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.tompetty.com/blogs/news/tom-petty-s-love-is-a-long-road-from-full-moon-fever-featured-in-trailer-1-of-grand-theft-auto-vi","2023-12-05","HIGH","NO","GTA VI Trailer 1","gta 6 trailer song;gta 6 trailer 1 song;what song is in the gta 6 trailer;tom petty gta 6;love is a long road gta;gta vi soundtrack",""
"song","Hot Together","","hot-together","song","dance-pop","A 1986 Pointer Sisters dance-pop track that provides most of the backing music for GTA VI Trailer 2, released in May 2026.","The Pointer Sisters' 1986 song ""Hot Together,"" from the album of the same name, soundtracks the bulk of Grand Theft Auto VI's second trailer, released May 6, 2026. The track underscores a montage introducing dual protagonists Jason Duvall and Lucia Camino, covering scenes of romance, gunfights, and a helicopter chase through the fictional state of Leonida. The song had previously appeared in the 1987 film Spaceballs and the film Stakeout. Music press outlet NME identified the track by ear and confirmed the timing within the trailer at around the 1:04 mark.","Artist: The Pointer Sisters; Original release: 1986, album Hot Together; Appeared in: GTA VI Trailer 2 (May 6, 2026); Previously used in Spaceballs (1987) and Stakeout; Leads a large portion of the trailer's runtime","The Pointer Sisters","Trailer 2","2026-05-06","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://www.nme.com/news/gaming-news/what-song-grand-theft-auto-6-trailer-2-3860654","2026-05-06","HIGH","NO","GTA VI Trailer 2","gta 6 trailer 2 song;what song is in gta 6 trailer 2;pointer sisters gta 6;hot together gta 6;gta vi soundtrack",""
"song","Everybody Have Fun Tonight","","everybody-have-fun-tonight","song","synth-pop","A brief Wang Chung radio snippet heard during a driving montage in GTA VI Trailer 2, identified by music press.","During a short driving montage in Grand Theft Auto VI's second trailer (May 2026), a few seconds of Wang Chung's 1986 hit ""Everybody Have Fun Tonight"" can be heard playing from a car radio as protagonist Jason drives around Leonida. The identification comes from NME's breakdown of the trailer's music rather than an official Rockstar tracklist. Because the clip is brief and heard only in the background, it is reported with less certainty than the trailer's lead song.","Artist: Wang Chung; Original release: 1986; Appeared in: GTA VI Trailer 2 (May 6, 2026), heard briefly on car radio; Identified by press, not an official Rockstar credit list","Wang Chung","Trailer 2","2026-05-06","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://www.nme.com/news/gaming-news/what-song-grand-theft-auto-6-trailer-2-3860654","2026-05-06","MEDIUM","NO","GTA VI Trailer 2","gta 6 trailer 2 songs;gta 6 radio snippets trailer 2;wang chung gta 6;gta vi soundtrack songs",""
"song","Child Support","","child-support","song","kompa","A 2004 Haitian kompa track by Zenglen and 5 Etwal, heard briefly on the radio during GTA VI Trailer 2's driving montage.","""Child Support"" by the Haitian band Zenglen, with 5 Etwal, is a 2004 kompa track heard in a short snippet during Grand Theft Auto VI's second trailer (May 2026), as protagonist Jason drives through Leonida collecting money for his boss. The song's inclusion was noted for reflecting Florida's real-world Haitian community. Like the trailer's other background radio snippets, this identification comes from press coverage rather than an official Rockstar-published tracklist, so it carries slightly lower certainty than the trailer's lead song.","Artist: Zenglen with 5 Etwal; Genre: Haitian kompa; Original release: 2004; Appeared in: GTA VI Trailer 2 (May 6, 2026), heard briefly on car radio; Identified by press, not an official Rockstar credit list","Zenglen; 5 Etwal","Trailer 2","2026-05-06","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://www.nme.com/news/gaming-news/what-song-grand-theft-auto-6-trailer-2-3860654","2026-05-06","MEDIUM","NO","GTA VI Trailer 2","gta 6 trailer 2 songs;gta 6 haitian music;zenglen gta 6;child support gta 6;gta vi soundtrack songs",""
"song","Talkin' to Myself Again","","talkin-to-myself-again","song","country","A 1987 Tammy Wynette country single heard briefly on the radio during GTA VI Trailer 2's driving montage.","Tammy Wynette's ""Talkin' to Myself Again,"" a country single released in November 1987 from the album Higher Ground, plays briefly on a car radio during Grand Theft Auto VI's second trailer (May 2026). It is one of three short radio snippets NME identified during Jason's driving montage, alongside tracks by Wang Chung and Zenglen. As with those other background snippets, this identification is a press finding rather than a confirmed line from an official Rockstar tracklist.","Artist: Tammy Wynette; Original release: November 1987, album Higher Ground; Appeared in: GTA VI Trailer 2 (May 6, 2026), heard briefly on car radio; Identified by press, not an official Rockstar credit list","Tammy Wynette","Trailer 2","2026-05-06","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://www.nme.com/news/gaming-news/what-song-grand-theft-auto-6-trailer-2-3860654","2026-05-06","MEDIUM","NO","GTA VI Trailer 2","gta 6 trailer 2 songs;gta 6 country song;tammy wynette gta 6;gta vi soundtrack songs",""
"song","Pop Bottles","","pop-bottles","song","hip hop","A 2007 Birdman track featuring Lil Wayne, played during an early drug-den scene in the GTA VI Netflix Extended Look.","""Pop Bottles,"" a 2007 single by Birdman featuring Lil Wayne, opens the music in Grand Theft Auto VI's Netflix Extended Look, released August 27, 2026. It plays from roughly 0:06 to 0:45 as protagonists Jason and Lucia approach a drug den and are stopped by people near the entrance. Gaming outlet GameRant catalogued the song with a timestamp based on direct viewing of the 26-minute gameplay preview, which Rockstar produced with Netflix from PlayStation 5 footage.","Artists: Birdman featuring Lil Wayne; Original release: 2007; Appeared in: GTA VI Netflix Extended Look (August 27, 2026), 0:06-0:45; Scene: Jason and Lucia approaching a drug den","Birdman; Lil Wayne","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://gamerant.com/all-songs-featured-in-gta-6-extended-look-showcase-timestamps/","2026-08-28","HIGH","NO","GTA VI Netflix Extended Look","gta 6 extended look soundtrack;gta 6 netflix trailer songs;pop bottles gta 6;birdman lil wayne gta 6;gta vi soundtrack",""
"song","Pound Town","","pound-town","song","hip hop","A 2023 Sexyy Red and Tay Keith single heard on a stereo inside a drug den building in the GTA VI Netflix Extended Look.","""Pound Town,"" the 2023 single by Sexyy Red and Tay Keith, plays from roughly 0:46 to 1:33 in Grand Theft Auto VI's Netflix Extended Look, heard on a stereo as protagonists Jason and Lucia enter a drug den building. The 26-minute gameplay preview premiered on Netflix on August 27, 2026 before arriving on YouTube. GameRant documented the song with an exact timestamp and scene description from the released footage.","Artists: Sexyy Red featuring Tay Keith; Original release: January 27, 2023; Appeared in: GTA VI Netflix Extended Look (August 27, 2026), 0:46-1:33; Scene: Jason and Lucia entering a drug den building","Sexyy Red; Tay Keith","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://gamerant.com/all-songs-featured-in-gta-6-extended-look-showcase-timestamps/","2026-08-28","HIGH","NO","GTA VI Netflix Extended Look","gta 6 extended look soundtrack;gta 6 netflix trailer songs;pound town gta 6;sexyy red gta 6;gta vi soundtrack",""
"song","Skrilla","","skrilla","song","hip hop","A Kodak Black track heard in a hallway scene in the GTA VI Netflix Extended Look; the exact original release year is disputed across sources.","Kodak Black's ""Skrilla"" plays from roughly 1:45 to 2:34 in Grand Theft Auto VI's Netflix Extended Look, heard as Jason and Lucia exit an elevator into a hallway and Jason pets a dog. The 26-minute preview premiered on Netflix on August 27, 2026. GameRant documented the placement with a timestamp and scene description. Streaming and retail listings for the standalone single show conflicting release information, so its exact original release date is not stated with certainty here.","Artist: Kodak Black; Appeared in: GTA VI Netflix Extended Look (August 27, 2026), 1:45-2:34; Scene: Jason and Lucia exiting an elevator into a hallway; Original release year is inconsistent across music databases","Kodak Black","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://gamerant.com/all-songs-featured-in-gta-6-extended-look-showcase-timestamps/","2026-08-28","MEDIUM","NO","GTA VI Netflix Extended Look","gta 6 extended look soundtrack;gta 6 netflix trailer songs;skrilla gta 6;kodak black gta 6;gta vi soundtrack","Original release year for ""Skrilla"" conflicts across music databases (single listings vs. earlier freestyle uploads); not stated as a fact here."
"song","Let Your Love Flow","","let-your-love-flow","song","country pop","A 1976 Bellamy Brothers hit that plays as Lucia jumps to street level and Jason carjacks a vehicle in the GTA VI Netflix Extended Look.","The Bellamy Brothers' 1976 country-pop hit ""Let Your Love Flow"" plays from roughly 6:00 to 6:42 in Grand Theft Auto VI's Netflix Extended Look, starting as Lucia jumps down to street level and the footage cuts to Jason carjacking a vehicle. Rockstar and Netflix released the 26-minute gameplay preview on August 27, 2026, and GameRant catalogued the song with a timestamp from the released footage.","Artist: The Bellamy Brothers; Original release: 1976; Appeared in: GTA VI Netflix Extended Look (August 27, 2026), 6:00-6:42; Scene: Lucia jumping to street level as Jason carjacks a vehicle","The Bellamy Brothers","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://gamerant.com/all-songs-featured-in-gta-6-extended-look-showcase-timestamps/","2026-08-28","HIGH","NO","GTA VI Netflix Extended Look","gta 6 extended look soundtrack;gta 6 netflix trailer songs;let your love flow gta 6;bellamy brothers gta 6;gta vi soundtrack",""
"song","Love Bites","","love-bites","song","glam metal","A 1987 Def Leppard power ballad that plays inside Jason and Lucia's apartment in the GTA VI Netflix Extended Look.","Def Leppard's 1987 power ballad ""Love Bites,"" from the album Hysteria, plays from roughly 6:43 to 7:25 in Grand Theft Auto VI's Netflix Extended Look, set inside Jason and Lucia's apartment. The 26-minute gameplay preview, produced by Rockstar with Netflix from PlayStation 5 footage, premiered on August 27, 2026. GameRant documented the placement with a timestamp and scene description. Whether this song appears on any in-game radio station, or only in this preview footage, has not been confirmed by Rockstar, so its final soundtrack placement remains unverified. Confidence in this record is high, since it is drawn from a timestamped major press account of confirmed official footage.","Artist: Def Leppard; Original release: 1987, album Hysteria; Appeared in: GTA VI Netflix Extended Look (August 27, 2026), 6:43-7:25; Scene: inside Jason and Lucia's apartment","Def Leppard","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://gamerant.com/all-songs-featured-in-gta-6-extended-look-showcase-timestamps/","2026-08-28","HIGH","NO","GTA VI Netflix Extended Look","gta 6 extended look soundtrack;gta 6 netflix trailer songs;love bites gta 6;def leppard gta 6;gta vi soundtrack",""
