"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"wildlife","Alligators","","alligators","land","animal","Alligators are animals listed for GTA 6 on the GTA Fandom wiki.","Alligators appear on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under land. The species given is Reptile. It is listed at Leonida. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: land;Species: Reptile;Listed at: Leonida;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Alligators","2026-09-13","LOW","NO","","gta 6 alligators;alligators gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
"wildlife","Cats","","cats","land","animal","Cats are animals listed for GTA 6 on the GTA Fandom wiki.","Cats appear on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under land. The species given is Felinae, Domestic mammal. It is listed at Los Santos, Blaine County, Leonida. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: land;Species: Felinae, Domestic mammal;Listed at: Los Santos, Blaine County, Leonida;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Cats","2026-09-13","LOW","NO","","gta 6 cats;cats gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
"wildlife","Cougars","","cougars","land","animal","Cougars are animals listed for GTA 6 on the GTA Fandom wiki.","Cougars appear on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under land. The species given is Felinae. It is listed at Chiliad Mountain State Wilderness, Mount Gordo and north of Vinewood Hills. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: land;Species: Felinae;Listed at: Chiliad Mountain State Wilderness, Mount Gordo and north of Vinewood Hills;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Cougars","2026-09-13","LOW","NO","","gta 6 cougars;cougars gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
"wildlife","Dogs","","dogs","land","animal","Dogs are animals listed for GTA 6 on the GTA Fandom wiki.","Dogs appear on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under land. The species given is Canis lupus. It is listed at Los Santos Blaine County. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: land;Species: Canis lupus;Listed at: Los Santos Blaine County;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Dogs","2026-09-13","LOW","NO","","gta 6 dogs;dogs gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
"wildlife","Dolphins","","dolphins","sea","animal","Dolphins are animals listed for GTA 6 on the GTA Fandom wiki.","Dolphins appear on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under sea. The species given is Bottlenose Dolphin. It is listed at Warm ocean. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: sea;Species: Bottlenose Dolphin;Listed at: Warm ocean;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Dolphins","2026-09-13","LOW","NO","","gta 6 dolphins;dolphins gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
"wildlife","Double-Crested Cormorant","","double-crested-cormorant","bird","animal","Double-Crested Cormorant is an animal listed for GTA 6 on the GTA Fandom wiki.","Double-Crested Cormorant appears on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under bird. The species given is Birds. It is listed at Leonida. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: bird;Species: Birds;Listed at: Leonida;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Double-Crested_Cormorants","2026-09-13","LOW","NO","","gta 6 double-crested cormorant;double-crested cormorant gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
"wildlife","Ducks","","ducks","bird","animal","Ducks are animals listed for GTA 6 on the GTA Fandom wiki.","Ducks appear on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under bird. The species given is Birds. It is listed at Leonida. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: bird;Species: Birds;Listed at: Leonida;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Ducks","2026-09-13","LOW","NO","","gta 6 ducks;ducks gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
"wildlife","Eels","","eels","sea","animal","Eels are animals listed for GTA 6 on the GTA Fandom wiki.","Eels appear on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under sea. It is listed at Leonida. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: sea;Listed at: Leonida;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Eels","2026-09-13","LOW","NO","","gta 6 eels;eels gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
"wildlife","Fish","","fish","sea","animal","Fish is an animal listed for GTA 6 on the GTA Fandom wiki.","Fish appears on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under sea. The species given is Marine animals. It is listed at All over the sea. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: sea;Species: Marine animals;Listed at: All over the sea;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Fish","2026-09-13","LOW","NO","","gta 6 fish;fish gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
"wildlife","Flamingos","","flamingos","bird","animal","Flamingos are animals listed for GTA 6 on the GTA Fandom wiki.","Flamingos appear on the GTA Fandom wiki as a Grand Theft Auto VI animal. The wiki files it under bird. The species given is Birds. It is listed at Leonida. Rockstar has shown animals in the GTA 6 trailers but has published no species list, so this entry rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Type: bird;Species: Birds;Listed at: Leonida;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Flamingos","2026-09-13","LOW","NO","","gta 6 flamingos;flamingos gta 6;gta 6 animals","Data from outlawdb (https://outlawdb.com/en/gta-6/wildlife), derived from GTA Wiki, CC BY-SA 3.0."
