"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"vehicle","8F Drafter","","8f-drafter","Sports","2-door coupe","8F Drafter is a vehicle listed for GTA 6 on the GTA Fandom wiki, made in game by Obey.","8F Drafter appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. The in-game manufacturer is given as Obey. Grand Theft Auto uses invented car brands, so Obey is not a real company. The wiki files it in the Sports class, with a 2-door coupe body. It seats 2. A price of $718,000 is listed. Rockstar has published no GTA 6 price. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Manufacturer: Obey;Class: Sports;Body style: 2-door coupe;Seats: 2;Listed price: $718,000;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/8F_Drafter","2026-09-13","LOW","NO","Obey","gta 6 8f drafter;8f drafter gta 6;gta 6 obey","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
"vehicle","Airboat 09","","airboat-09","","Airboat","Airboat 09 is a vehicle listed for GTA 6 on the GTA Fandom wiki, made in game by Airgator Airboats.","Airboat 09 appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. The in-game manufacturer is given as Airgator Airboats. Grand Theft Auto uses invented car brands, so Airgator Airboats is not a real company. The body style is given as Airboat. The vehicle type is given as motorboat. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Manufacturer: Airgator Airboats;Body style: Airboat;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Airboat_09","2026-09-13","LOW","NO","Airgator Airboats","gta 6 airboat 09;airboat 09 gta 6;gta 6 airgator airboats","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
"vehicle","Aleutian","","aleutian","SUVs","4-door SUV","Aleutian is a vehicle listed for GTA 6 on the GTA Fandom wiki, made in game by Vapid.","Aleutian appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. The in-game manufacturer is given as Vapid. Grand Theft Auto uses invented car brands, so Vapid is not a real company. The wiki files it in the SUVs class, with a 4-door SUV body. The vehicle type is given as lighttruck. It seats 4. A price of $1,835,000 is listed. Rockstar has published no GTA 6 price. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Manufacturer: Vapid;Class: SUVs;Body style: 4-door SUV;Seats: 4;Listed price: $1,835,000;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Aleutian","2026-09-13","LOW","NO","Vapid","gta 6 aleutian;aleutian gta 6;gta 6 vapid","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
"vehicle","Alpha","","alpha","Sports","2-door coupe","Alpha is a vehicle listed for GTA 6 on the GTA Fandom wiki, made in game by Albany.","Alpha appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. The in-game manufacturer is given as Albany. Grand Theft Auto uses invented car brands, so Albany is not a real company. The wiki files it in the Sports class, with a 2-door coupe body. The vehicle type is given as grandtourer. It seats 2. A price of $150,000 is listed, but the wiki takes that figure from GTA Online and not from GTA 6. No GTA 6 price has been published. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Manufacturer: Albany;Class: Sports;Body style: 2-door coupe;Seats: 2;Listed price: $150,000 (from GTA Online, not GTA 6);Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Alpha_(HD_Universe)","2026-09-13","LOW","NO","Albany","gta 6 alpha;alpha gta 6;gta 6 albany","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
"vehicle","Alvino V1","","alvino-v1","","Sports bike","Alvino V1 is a vehicle listed for GTA 6 on the GTA Fandom wiki, made in game by Principe.","Alvino V1 appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. The in-game manufacturer is given as Principe. Grand Theft Auto uses invented car brands, so Principe is not a real company. The body style is given as Sports bike. The vehicle type is given as streetbike. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Manufacturer: Principe;Body style: Sports bike;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Alvino_V1","2026-09-13","LOW","NO","Principe","gta 6 alvino v1;alvino v1 gta 6;gta 6 principe","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
"vehicle","Arcturus","","arcturus","","","Arcturus is a vehicle listed for GTA 6 on the GTA Fandom wiki.","Arcturus appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Arcturus","2026-09-13","LOW","NO","","gta 6 arcturus;arcturus gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
"vehicle","Asterope GZ","","asterope-gz","Sedans","4-door sedan","Asterope GZ is a vehicle listed for GTA 6 on the GTA Fandom wiki, made in game by Karin.","Asterope GZ appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. The in-game manufacturer is given as Karin. Grand Theft Auto uses invented car brands, so Karin is not a real company. The wiki files it in the Sedans class, with a 4-door sedan body. The vehicle type is given as midsize. It seats 4. A price of $459,000 is listed. Rockstar has published no GTA 6 price. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Manufacturer: Karin;Class: Sedans;Body style: 4-door sedan;Seats: 4;Listed price: $459,000;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Asterope_GZ","2026-09-13","LOW","NO","Karin","gta 6 asterope gz;asterope gz gta 6;gta 6 karin","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
"vehicle","Astron","","astron","SUVs","5-door compact SUV","Astron is a vehicle listed for GTA 6 on the GTA Fandom wiki, made in game by Pfister.","Astron appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. The in-game manufacturer is given as Pfister. Grand Theft Auto uses invented car brands, so Pfister is not a real company. The wiki files it in the SUVs class, with a 5-door compact SUV body. The vehicle type is given as lighttruck. It seats 4. A price of $1,580,000 is listed. Rockstar has published no GTA 6 price. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Manufacturer: Pfister;Class: SUVs;Body style: 5-door compact SUV;Seats: 4;Listed price: $1,580,000;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Astron","2026-09-13","LOW","NO","Pfister","gta 6 astron;astron gta 6;gta 6 pfister","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
"vehicle","Avarus","","avarus","Motorcycles","Chopper","Avarus is a vehicle listed for GTA 6 on the GTA Fandom wiki, made in game by Liberty City Cycles.","Avarus appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. The in-game manufacturer is given as Liberty City Cycles. Grand Theft Auto uses invented car brands, so Liberty City Cycles is not a real company. The wiki files it in the Motorcycles class, with a Chopper body. The vehicle type is given as streetbike. It seats 1. A price of $116,000 is listed. Rockstar has published no GTA 6 price. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Manufacturer: Liberty City Cycles;Class: Motorcycles;Body style: Chopper;Seats: 1;Listed price: $116,000;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Avarus","2026-09-13","LOW","NO","Liberty City Cycles","gta 6 avarus;avarus gta 6;gta 6 liberty city cycles","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
"vehicle","Baller (second generation)","","baller-second-generation","SUVs","5-door SUV","Baller (second generation) is a vehicle listed for GTA 6 on the GTA Fandom wiki, made in game by Gallivanter.","Baller (second generation) appears on the GTA Fandom wiki as a Grand Theft Auto VI vehicle. The in-game manufacturer is given as Gallivanter. Grand Theft Auto uses invented car brands, so Gallivanter is not a real company. The wiki files it in the SUVs class, with a 5-door SUV body. The vehicle type is given as lighttruck. It seats 4. A price of $98,000 is listed, but the wiki takes that figure from GTA V and not from GTA 6. No GTA 6 price has been published. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Manufacturer: Gallivanter;Class: SUVs;Body style: 5-door SUV;Seats: 4;Listed price: $98,000 (from GTA V, not GTA 6);Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Baller_(second_generation)","2026-09-13","LOW","NO","Gallivanter","gta 6 baller (second generation);baller (second generation) gta 6;gta 6 gallivanter","Data from outlawdb (https://outlawdb.com/en/gta-6/vehicles), derived from GTA Wiki, CC BY-SA 3.0."
