"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"gameplay_feature","Dual Protagonist Character Switching","protagonist switching;switching between Jason and Lucia","dual-protagonist-switching","core mechanics","protagonists","Players can switch control between Jason and Lucia at will during open-world play and story missions.","The Extended Look gameplay video, aired 27 August 2026, showed players swapping control between Jason Duval and Lucia Caminos during a shared mission, similar to the three-way switching system used in GTA V. Rockstar and press coverage describe the pair as a fugitive couple who share money, vehicles and story beats, and can be freely swapped between during exploration and combat. Rob Nelson of Rockstar North has discussed the mechanic in interviews accompanying the reveal.","Confirmed in the Extended Look on 27 Aug 2026;Works during both free roam and missions;Builds on the GTA V multi-protagonist switch system;Jason and Lucia share a joint criminal partnership in the story","","Extended Look","2026-08-27","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/newswire/article/9k2kaa1o3297k9/grand-theft-auto-vi-an-extended-look","2026-08-27","HIGH","YES","Jason Duval;Lucia Caminos;Protagonist Relationship System","gta 6 character switching;gta vi switch characters;can you switch between Jason and Lucia gta 6;grand theft auto 6 dual protagonists;gta 6 two playable characters",")"
"gameplay_feature","Six-Star Wanted System","wanted level;six stars;police wanted system","six-star-wanted-system","law and order","police","The wanted level returns to a six-star maximum, up from GTA V's five, with escalating police response at each star.","Rockstar North co-studio head Rob Nelson confirmed to press following the August 2026 previews that GTA VI's wanted system returns to six stars, last seen in earlier era GTA titles, replacing GTA V's five-star cap. One star is described as easy to shake, while six stars produces a high-chaos, heavily armed police response. The system was demonstrated during the Extended Look and detailed further in hands-off preview sessions Rockstar gave to outlets including IGN and GamesRadar in late August 2026.","Maximum wanted level raised from five stars (GTA V) to six;Confirmed by Rob Nelson in press interviews around the Extended Look;Demonstrated in the 27 Aug 2026 gameplay video;Higher stars bring more aggressive and better-equipped police","","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://www.gamesradar.com/games/grand-theft-auto/gta-6-wanted-system-goes-up-to-6-stars-and-lets-police-track-your-face-your-clothes-and-your-car/","2026-08-28","HIGH","NO","Police Criminal Profile System;Dual Protagonist Character Switching","gta 6 wanted level;gta vi six stars;how many wanted stars in gta 6;does gta 6 have six star wanted level;gta 6 police system explained",")"
"gameplay_feature","Police Criminal Profile System","evidence-based wanted system;police memory system","police-criminal-profile-system","law and order","police","Police build an evolving profile of a suspect's face, clothing, vehicle and weapons instead of an instant map-wide alert.","Press previews given after the August 2026 Extended Look describe a reworked wanted system where a star level is triggered only if a crime is witnessed by an NPC, reported by a victim, or caught by a security system. Police then track what they know about a suspect, shown through HUD icons covering face, outfit, vehicle and weapon, and officers stop pursuing once that information goes stale or is invalidated, for example by changing clothes or ditching a marked car. Rob Nelson described the system in interviews with outlets including IGN following the reveal.","A crime must be witnessed, reported, or caught on camera to trigger a star;HUD icons show what police currently know about the suspect;Changing outfit, hair or vehicle degrades police identification;Cops no longer show automatically as dots on the minimap during pursuits","","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://www.gamesradar.com/games/grand-theft-auto/gta-6-wanted-system-goes-up-to-6-stars-and-lets-police-track-your-face-your-clothes-and-your-car/","2026-08-28","HIGH","NO","Six-Star Wanted System","gta 6 police system;gta vi criminal profile;how do police find you in gta 6;does gta 6 have a new wanted system;gta 6 evidence tracking police",")"
"gameplay_feature","Weapon Carry Limit","two-gun limit;concealed and long gun carry system","weapon-carry-limit","combat","weapons","Characters can carry only two concealed handguns and two long guns at once, replacing the unlimited weapon wheel.","Rockstar North co-studio director Rob Nelson told press after the August 2026 previews that GTA VI drops the series' effectively unlimited weapon wheel. Each protagonist can conceal up to two handguns and carry two long guns, though typically only one long gun fits on the back at a time, with a second carried openly in hand. Rifles and shotguns generally must be carried in the open or stowed in a vehicle, and NPCs react with suspicion or fear to characters openly holding long guns. Nelson said the old system \doesn't work any longer at this resolution\"" given the game's NPC behavioral detail.""","Up to two concealed handguns and two long guns at a time;Only one long gun typically fits on the back; a second is carried in hand;Vehicles act as extra weapon storage;NPCs react to visibly carried long guns;Confirmed by Rob Nelson in press interviews after the Extended Look","","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://gamingbolt.com/gta-6-lets-you-carry-2-concealed-handguns-and-2-long-guns-with-npcs-reacting-accordingly","2026-08-29","HIGH","NO","","gta 6 weapon wheel;gta vi how many guns can you carry;does gta 6 have a weapon wheel;gta 6 weapon limit;gta 6 gun carrying system",")"
"gameplay_feature","Map Scale of Leonida","Leonida size;Vice City size;GTA 6 map size","map-scale-of-leonida","world","map","Rockstar has stated the full Leonida map is about three times the playable area of Red Dead Redemption 2.","Following the August 2026 preview sessions at Rockstar North, outlets reported that the complete GTA VI map, the state of Leonida, is roughly three times the size of Red Dead Redemption 2's world and about twice the size of GTA V's Los Santos and Blaine County. Vice City itself was described as roughly twice the size of Los Santos, with the wider urbanized area, including satellite towns, around eleven times larger than GTA V's populated area. The figures were relayed by Rockstar developers to journalists including from the New York Times and YouTuber TGG during hands-off preview events.","Full Leonida map described as about 3x Red Dead Redemption 2's world;Roughly 2x the size of GTA V's total map;Vice City alone said to be about 2x the size of Los Santos;Urbanized area with satellite towns described as roughly 11x GTA V's populated land;Figures relayed by Rockstar to press at August 2026 preview events","","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://www.videogameschronicle.com/news/grand-theft-auto-6s-map-is-three-times-bigger-than-red-dead-redemption-2/","2026-08-28","HIGH","NO","","gta 6 map size;gta vi map bigger than red dead redemption 2;how big is the gta 6 map;gta 6 vice city size;is gta 6 map bigger than gta 5",")"
"gameplay_feature","Console Performance Target","30fps mode;performance mode status","console-performance-target","technical","performance","Rockstar has said GTA VI targets 30fps on PS5 and Xbox Series X|S at launch, with no performance mode yet confirmed.","In press interviews following the August 2026 preview showings, Rockstar North co-director Rob Nelson said GTA VI is currently targeting 30 frames per second on PlayStation 5 and Xbox Series X|S. Nelson said he could not yet commit to a dedicated higher-framerate performance mode, saying the technical team would need to be consulted on whether a 60fps option would be available at launch or added later. No resolution figure has been officially confirmed by Rockstar; some outlets have reported an upscaled 4K output was observed during a presentation, but Rockstar itself has not confirmed a resolution target.","Rob Nelson confirmed a 30fps target for console;No performance mode confirmed for launch as of the report;Rockstar left open the possibility of a future 60fps option;No PC version has been announced, so this applies to PS5 and Xbox Series X|S only","","Not Yet Shown","2026-08-28","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://www.pushsquare.com/news/2026/08/gta-6-targeting-30fps-on-ps5-undecided-on-performance-mode","2026-08-28","HIGH","NO","","gta 6 fps;gta vi 30fps or 60fps;does gta 6 have a performance mode;gta 6 frame rate ps5;gta 6 resolution confirmed",")"
"gameplay_feature","Reworked Car Theft System","car stealing system;slim jim;key cloner;vehicle security tiers","reworked-car-theft-system","vehicles","theft","Parked cars are split into security tiers requiring different tools, replacing GTA V's instant hotwire.","Coverage of the August 2026 Rockstar North preview sessions describes a car theft system built around vehicle security tiers. Older cars without electronic locks can be opened with a Slim Jim tool via a short minigame, while newer cars with key fobs require a key cloner device before the engine will start. Vehicles fitted with GPS trackers may require driving at a set speed to avoid detection. Carjacking an occupied vehicle remains possible as in earlier games, now with a quick-time struggle as the driver resists. Rockstar described the changes directly to outlets during the preview event.","Older cars can be opened with a Slim Jim tool through a minigame;Newer cars need a key cloner to bypass electronic locks;GPS-tracked vehicles may require driving at a set speed to avoid detection;Carjacking an occupied car still works, now with driver resistance;Confirmed through Rockstar North's August 2026 press preview sessions","","Not Yet Shown","2026-08-28","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://kotaku.com/for-the-first-time-in-25-years-gta-6-will-make-stealing-cars-hard-2000729419","2026-08-28","HIGH","NO","","gta 6 car theft;gta vi how to steal cars;can you hotwire cars in gta 6;gta 6 slim jim;gta 6 key cloner",")"
"gameplay_feature","Optional Romance System","Jason and Lucia romance;relationship system","optional-romance-system","protagonists","relationship","Players can choose whether Jason and Lucia's relationship develops romantically or stays strictly a criminal partnership.","Press coverage following the August 2026 previews reports that although trailers present Jason and Lucia as a couple, GTA VI treats their romance as optional. Both characters begin the story with romantic interest, but the relationship only deepens through time spent together in the open world, such as shopping, salon visits, gym sessions or joint robberies, rather than through main missions alone. Ignoring calls or texts from the other character can weaken the relationship, while spending time together can rebuild it. Rockstar's Rob Nelson said the two will always remain partners in crime regardless of the player's choices, and that romance affects narrative and roleplay options rather than gameplay stat bonuses.","Romance is optional; the pair can remain platonic partners in crime instead;Deepens through open-world activities done together, not through main missions alone;Ignoring the other character's messages can weaken the relationship;Rob Nelson confirmed Jason and Lucia always stay partners regardless of romance choices;Framed as affecting narrative and roleplay options, not gameplay stat bonuses","","Extended Look","2026-08-27","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://www.vice.com/en/article/gta-6-romance-criminal-profile-details/","2026-08-28","HIGH","NO","Dual Protagonist Character Switching","gta 6 romance system;gta vi Jason and Lucia relationship;can Jason and Lucia date in gta 6;does gta 6 have a romance option;gta 6 relationship mechanics",")"
"gameplay_feature","Scuba Diving and Underwater Exploration","swimming;diving;underwater gameplay","scuba-diving-underwater-exploration","world","activities","Rockstar has shown scuba diving and underwater exploration, including reefs and shipwrecks, around the Leonida Keys.","Rockstar's official GTA VI site and the Extended Look gameplay video, released 27 August 2026, both feature scuba diving and underwater exploration around the Leonida Keys, the map's tropical southern archipelago. Official imagery shows a diver near a coral reef alongside marine life such as a sea turtle. Press coverage of the Extended Look and subsequent preview sessions describes underwater environments including shipwrecks and submerged caves as part of the game's open-world activities, alongside other water-based content such as parachuting and boating shown in the same footage.","Shown on Rockstar's official GTA VI site and in the Extended Look video;Set around the Leonida Keys, the map's southern tropical area;Official imagery shows a diver near a coral reef with marine life;Underwater shipwrecks and cave exploration described in press coverage of the reveal","","Extended Look","2026-08-27","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI","2026-08-27","HIGH","YES","","gta 6 swimming;gta vi scuba diving;can you swim in gta 6;does gta 6 have diving;gta 6 underwater exploration",")"
"gameplay_feature","Store Robbery System","robbing stores;jewelry store heist","store-robbery-system","crime","robbery","Almost any store in Leonida can reportedly be robbed, with layout, security cameras and staff affecting how it plays out.","Outlets covering Rockstar North's August 2026 preview sessions report that most stores across Leonida, including convenience stores and jewelry shops, can be robbed in free roam, not just scripted heist missions. During a demonstrated jewelry store robbery, Jason and Lucia wore masks, controlled staff and customers, and collected valuables, with a security camera and later police response factoring into the escape. Stolen goods are reportedly sold on through fence characters rather than deposited directly as cash. These details come from press demonstrations rather than a Rockstar press release, so exact scope at launch is not yet independently verified by Rockstar itself.","Reported to cover most stores in Leonida, not only scripted heist missions;Demonstrated with a jewelry store robbery during press previews;Masks and staff control shown as part of the robbery flow;Stolen goods reportedly sold through fence characters rather than banked directly;Detail comes from hands-off press previews rather than a Rockstar statement","","Not Yet Shown","2026-08-28","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://gamerant.com/gta-6-store-robberies/","2026-08-29","MEDIUM","NO","","gta 6 rob stores;gta vi store robbery;can you rob stores in gta 6;gta 6 heist system;gta 6 jewelry store robbery","Based on hands-off press preview coverage rather than a direct Rockstar statement; exact scope may change before launch.)"
