"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"location","Ambrosia County","","ambrosia-county","county","","Ambrosia County is a county listed for GTA 6 on the GTA Fandom wiki.","Ambrosia County appears on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a county. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: county;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Ambrosia_County","2026-09-13","LOW","NO","","gta 6 ambrosia county;ambrosia county gta 6;where is ambrosia county gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"location","Atlantic Ocean","","atlantic-ocean","ocean","","Atlantic Ocean is a ocean listed for GTA 6 on the GTA Fandom wiki.","Atlantic Ocean appears on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a ocean. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: ocean;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Atlantic_Ocean_(HD_Universe)","2026-09-13","LOW","NO","","gta 6 atlantic ocean;atlantic ocean gta 6;where is atlantic ocean gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"location","Belville","","belville","neighborhood","","Belville is a neighborhood listed for GTA 6 on the GTA Fandom wiki.","Belville appears on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a neighborhood. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: neighborhood;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Belville","2026-09-13","LOW","NO","","gta 6 belville;belville gta 6;where is belville gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"location","City of Vice","","city-of-vice","city","","City of Vice is a city listed for GTA 6 on the GTA Fandom wiki.","City of Vice appears on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a city. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: city;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Vice_City_(HD_Universe)","2026-09-13","LOW","NO","","gta 6 city of vice;city of vice gta 6;where is city of vice gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"location","City of Vice Beach","","city-of-vice-beach","city","","City of Vice Beach is a city listed for GTA 6 on the GTA Fandom wiki.","City of Vice Beach appears on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a city. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: city;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Vice_Beach_(HD_Universe)","2026-09-13","LOW","NO","","gta 6 city of vice beach;city of vice beach gta 6;where is city of vice beach gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"location","Crosstown","","crosstown","neighborhood","","Crosstown is a neighborhood listed for GTA 6 on the GTA Fandom wiki.","Crosstown appears on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a neighborhood. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: neighborhood;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Crosstown","2026-09-13","LOW","NO","","gta 6 crosstown;crosstown gta 6;where is crosstown gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"location","Domed Hills","","domed-hills","mountain range","","Domed Hills is a mountain range listed for GTA 6 on the GTA Fandom wiki.","Domed Hills appear on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a mountain range. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: mountain range;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Domed_Hills","2026-09-13","LOW","NO","","gta 6 domed hills;domed hills gta 6;where is domed hills gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"location","Draper Island","","draper-island","district","","Draper Island is a district listed for GTA 6 on the GTA Fandom wiki.","Draper Island appears on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a district. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: district;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Draper_Island","2026-09-13","LOW","NO","","gta 6 draper island;draper island gta 6;where is draper island gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"location","Ekanfinaka","","ekanfinaka","neighborhood","","Ekanfinaka is a neighborhood listed for GTA 6 on the GTA Fandom wiki.","Ekanfinaka appears on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a neighborhood. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: neighborhood;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Ekanfinaka","2026-09-13","LOW","NO","","gta 6 ekanfinaka;ekanfinaka gta 6;where is ekanfinaka gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"location","Hamlet","","hamlet","city","","Hamlet is a city listed for GTA 6 on the GTA Fandom wiki.","Hamlet appears on the GTA Fandom wiki as a Grand Theft Auto VI location. The wiki files it as a city. It is a geographic area rather than a single building, so it holds other places inside it. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: city;Scope: area;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Hamlet","2026-09-13","LOW","NO","","gta 6 hamlet;hamlet gta 6;where is hamlet gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
