"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"weapon","Baseball Bat","","baseball-bat","Melee","Bat","Baseball Bat is a weapon listed for GTA 6 on the GTA Fandom wiki, in the melee class.","Baseball Bat appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under melee, as a Bat. The same weapon name is listed in 10 earlier Grand Theft Auto games: GTA III, GTA Vice City, GTA San Andreas, GTA Liberty City Stories, GTA Vice City Stories, GTA IV, GTA Episodes from Liberty City, GTA Chinatown Wars, GTA V, GTA Online. A name returning in the wiki list is not proof the weapon returns in GTA 6. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Melee;Also listed in: GTA III, GTA Vice City, GTA San Andreas, GTA Liberty City Stories, GTA Vice City Stories, GTA IV, GTA Episodes from Liberty City, GTA Chinatown Wars, GTA V, GTA Online;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Baseball_Bat","2026-09-13","LOW","NO","","gta 6 baseball bat;baseball bat gta 6;gta 6 melee","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Bolt Action Sniper","","bolt-action-sniper","Sniper Rifles","sniper","Bolt Action Sniper is a weapon listed for GTA 6 on the GTA Fandom wiki, in the sniper rifles class.","Bolt Action Sniper appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under sniper rifles, as a sniper. The wiki compares it to a real firearm, the Remington Model 700. That comparison was made by wiki editors and not by Rockstar. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Sniper Rifles;Source: GTA Fandom wiki, via outlawdb","Remington Model 700, as given by the GTA Fandom wiki","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Bolt_Action_Sniper","2026-09-13","LOW","NO","","gta 6 bolt action sniper;bolt action sniper gta 6;gta 6 sniper rifles","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Compact Submachine Gun","","compact-submachine-gun","Submachine Guns","submachinegun","Compact Submachine Gun is a weapon listed for GTA 6 on the GTA Fandom wiki, in the submachine guns class.","Compact Submachine Gun appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under submachine guns, as a submachinegun. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Submachine Guns;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Compact_Submachine_Gun","2026-09-13","LOW","NO","","gta 6 compact submachine gun;compact submachine gun gta 6;gta 6 submachine guns","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Crowbar","","crowbar","Melee","Tool","Crowbar is a weapon listed for GTA 6 on the GTA Fandom wiki, in the melee class.","Crowbar appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under melee, as a Tool. A price of 8000 is listed. The same weapon name is listed in 2 earlier Grand Theft Auto games: GTA V, GTA Online. A name returning in the wiki list is not proof the weapon returns in GTA 6. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Melee;Listed price: 8000;Also listed in: GTA V, GTA Online;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Crowbar","2026-09-13","LOW","NO","","gta 6 crowbar;crowbar gta 6;gta 6 melee","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Fire Bottle","","fire-bottle","Throwable","canister","Fire Bottle is a weapon listed for GTA 6 on the GTA Fandom wiki, in the throwable class.","Fire Bottle appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under throwable, as a canister. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Throwable;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Fire_Bottle","2026-09-13","LOW","NO","","gta 6 fire bottle;fire bottle gta 6;gta 6 throwable","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Flashbang","","flashbang","Throwable","Flash Grenade","Flashbang is a weapon listed for GTA 6 on the GTA Fandom wiki, in the throwable class.","Flashbang appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under throwable, as a Flash Grenade. The fire mode is given as Throwable. A price of 150 is listed. The same weapon name is listed in 1 earlier Grand Theft Auto game: GTA Chinatown Wars. A name returning in the wiki list is not proof the weapon returns in GTA 6. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Throwable;Fire mode: Throwable;Listed price: 150;Also listed in: GTA Chinatown Wars;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Flashbangs","2026-09-13","LOW","NO","","gta 6 flashbang;flashbang gta 6;gta 6 throwable","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Flashlight","","flashlight","Melee","Flashlight","Flashlight is a weapon listed for GTA 6 on the GTA Fandom wiki, in the melee class.","Flashlight appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under melee, as a Flashlight. The in-game manufacturer is given as Vom Feuer. A price of 5750 is listed. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Melee;Manufacturer: Vom Feuer;Listed price: 5750;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Flashlight","2026-09-13","LOW","NO","","gta 6 flashlight;flashlight gta 6;gta 6 melee","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Golf Ball","","golf-ball","Throwable","thrown","Golf Ball is a weapon listed for GTA 6 on the GTA Fandom wiki, in the throwable class.","Golf Ball appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under throwable, as a thrown. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Throwable;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Golf_Balls","2026-09-13","LOW","NO","","gta 6 golf ball;golf ball gta 6;gta 6 throwable","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Golf Driver","","golf-driver","Melee","melee","Golf Driver is a weapon listed for GTA 6 on the GTA Fandom wiki, in the melee class.","Golf Driver appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under melee. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Melee;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Golf_Driver","2026-09-13","LOW","NO","","gta 6 golf driver;golf driver gta 6;gta 6 melee","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Golf Iron","","golf-iron","Melee","melee","Golf Iron is a weapon listed for GTA 6 on the GTA Fandom wiki, in the melee class.","Golf Iron appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under melee. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Melee;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Golf_Iron","2026-09-13","LOW","NO","","gta 6 golf iron;golf iron gta 6;gta 6 melee","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Golf Putter","","golf-putter","Melee","melee","Golf Putter is a weapon listed for GTA 6 on the GTA Fandom wiki, in the melee class.","Golf Putter appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under melee. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Melee;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Golf_Putter","2026-09-13","LOW","NO","","gta 6 golf putter;golf putter gta 6;gta 6 melee","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Golf Wedge","","golf-wedge","Melee","melee","Golf Wedge is a weapon listed for GTA 6 on the GTA Fandom wiki, in the melee class.","Golf Wedge appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under melee. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Melee;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Golf_Wedge","2026-09-13","LOW","NO","","gta 6 golf wedge;golf wedge gta 6;gta 6 melee","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Grenade","","grenade","Throwable","Fragmentation Grenade","Grenade is a weapon listed for GTA 6 on the GTA Fandom wiki, in the throwable class.","Grenade appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under throwable, as a Fragmentation Grenade. The fire mode is given as Throwable. The wiki compares it to a real firearm, the M26 grenade. That comparison was made by wiki editors and not by Rockstar. The same weapon name is listed in 11 earlier Grand Theft Auto games: GTA III, GTA Vice City, GTA San Andreas, GTA Liberty City Stories, GTA Vice City Stories, GTA IV, GTA The Lost and Damned, GTA The Ballad of Gay Tony, GTA Chinatown Wars, GTA V, GTA Online. A name returning in the wiki list is not proof the weapon returns in GTA 6. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Throwable;Fire mode: Throwable;Also listed in: GTA III, GTA Vice City, GTA San Andreas, GTA Liberty City Stories, GTA Vice City Stories, GTA IV, GTA The Lost and Damned, GTA The Ballad of Gay Tony, GTA Chinatown Wars, GTA V, GTA Online;Source: GTA Fandom wiki, via outlawdb","M26 grenade, as given by the GTA Fandom wiki","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Grenades","2026-09-13","LOW","NO","","gta 6 grenade;grenade gta 6;gta 6 throwable","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Grenade Launcher","","grenade-launcher","Heavy","","Grenade Launcher is a weapon listed for GTA 6 on the GTA Fandom wiki, in the heavy class.","Grenade Launcher appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under heavy. The wiki compares it to a real firearm, the Milkor MGL. That comparison was made by wiki editors and not by Rockstar. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Heavy;Source: GTA Fandom wiki, via outlawdb","Milkor MGL, as given by the GTA Fandom wiki","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Grenade_Launcher","2026-09-13","LOW","NO","","gta 6 grenade launcher;grenade launcher gta 6;gta 6 heavy","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Hammer","","hammer","Melee","Tool","Hammer is a weapon listed for GTA 6 on the GTA Fandom wiki, in the melee class.","Hammer appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under melee, as a Tool. The same weapon name is listed in 1 earlier Grand Theft Auto game: GTA Vice City. A name returning in the wiki list is not proof the weapon returns in GTA 6. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Melee;Also listed in: GTA Vice City;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Hammer","2026-09-13","LOW","NO","","gta 6 hammer;hammer gta 6;gta 6 melee","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Heavy Machine Gun","","heavy-machine-gun","Machine Guns","heavymachinegun","Heavy Machine Gun is a weapon listed for GTA 6 on the GTA Fandom wiki, in the machine guns class.","Heavy Machine Gun appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under machine guns, as a heavymachinegun. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Machine Guns;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Heavy_Machine_Gun","2026-09-13","LOW","NO","","gta 6 heavy machine gun;heavy machine gun gta 6;gta 6 machine guns","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Hunter Sniper","","hunter-sniper","Sniper Rifles","sniper","Hunter Sniper is a weapon listed for GTA 6 on the GTA Fandom wiki, in the sniper rifles class.","Hunter Sniper appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under sniper rifles, as a sniper. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Sniper Rifles;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Hunter_Sniper","2026-09-13","LOW","NO","","gta 6 hunter sniper;hunter sniper gta 6;gta 6 sniper rifles","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Knife","","knife","Melee","Blade","Knife is a weapon listed for GTA 6 on the GTA Fandom wiki, in the melee class.","Knife appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under melee, as a Blade. The wiki compares it to a real firearm, the Trench knife. That comparison was made by wiki editors and not by Rockstar. The same weapon name is listed in 8 earlier Grand Theft Auto games: GTA Vice City, GTA San Andreas, GTA Liberty City Stories, GTA Vice City Stories, GTA IV, GTA Episodes from Liberty City, GTA V, GTA Online. A name returning in the wiki list is not proof the weapon returns in GTA 6. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Melee;Also listed in: GTA Vice City, GTA San Andreas, GTA Liberty City Stories, GTA Vice City Stories, GTA IV, GTA Episodes from Liberty City, GTA V, GTA Online;Source: GTA Fandom wiki, via outlawdb","Trench knife, as given by the GTA Fandom wiki","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Knife","2026-09-13","LOW","NO","","gta 6 knife;knife gta 6;gta 6 melee","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Micro Submachine Gun","","micro-submachine-gun","Submachine Guns","submachinegun","Micro Submachine Gun is a weapon listed for GTA 6 on the GTA Fandom wiki, in the submachine guns class.","Micro Submachine Gun appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under submachine guns, as a submachinegun. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Submachine Guns;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Micro_Submachine_Gun","2026-09-13","LOW","NO","","gta 6 micro submachine gun;micro submachine gun gta 6;gta 6 submachine guns","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
"weapon","Molotov Cocktail","","molotov-cocktail","Throwable","Molotov Cocktail","Molotov Cocktail is a weapon listed for GTA 6 on the GTA Fandom wiki, in the throwable class.","Molotov Cocktail appears on the GTA Fandom wiki as a Grand Theft Auto VI weapon. The wiki files it under throwable, as a Molotov Cocktail. The fire mode is given as Throwable. The same weapon name is listed in 10 earlier Grand Theft Auto games: GTA III, GTA Vice City, GTA San Andreas, GTA Liberty City Stories, GTA Vice City Stories, GTA IV, GTA Episodes from Liberty City, GTA Chinatown Wars, GTA V, GTA Online. A name returning in the wiki list is not proof the weapon returns in GTA 6. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Weapon class: Throwable;Fire mode: Throwable;Also listed in: GTA III, GTA Vice City, GTA San Andreas, GTA Liberty City Stories, GTA Vice City Stories, GTA IV, GTA Episodes from Liberty City, GTA Chinatown Wars, GTA V, GTA Online;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Molotov_Cocktails","2026-09-13","LOW","NO","","gta 6 molotov cocktail;molotov cocktail gta 6;gta 6 throwable","Data from outlawdb (https://outlawdb.com/en/gta-6/weapons), derived from GTA Wiki, CC BY-SA 3.0."
