"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"business","24/7","Twenty Four Seven","24-7","convenience store","convenience store","24/7 is a convenience store listed for GTA 6 on the GTA Fandom wiki.","24/7 appears on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a convenience store. It is also called Twenty Four Seven. The wiki lists it across 6 places in the series: Liberty City, Liberty, Carcer City, State of San Andreas, Key Lento, Leonida. Leonida, Key Lento and Vice City are the GTA 6 entries in that list. Vehicles tied to it are given as Benson, Steed, Yankee. Named staff are given as DarkSoulLock (Formerly). The wiki marks its story status as active. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: convenience store;Listed locations: Liberty City, Liberty, Carcer City, State of San Andreas, Key Lento, Leonida;Associated vehicles: Benson, Steed, Yankee;Story status: active;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/24%2F7_(HD_Universe)","2026-09-13","LOW","NO","Benson;Steed;Yankee","gta 6 24/7;24/7 gta 6;gta 6 convenience store","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
"business","420 Rolling Papers","","420-rolling-papers","drug","drug","420 Rolling Papers are drugs listed for GTA 6 on the GTA Fandom wiki.","420 Rolling Papers appear on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a drug. The wiki marks its story status as active. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: drug;Story status: active;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/420_Rolling_Papers","2026-09-13","LOW","NO","","gta 6 420 rolling papers;420 rolling papers gta 6;gta 6 drug","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
"business","After Shaft","","after-shaft","vehicleparts","vehicleparts","After Shaft is a vehicleparts listed for GTA 6 on the GTA Fandom wiki.","After Shaft appears on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a vehicleparts. The wiki marks its story status as active. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: vehicleparts;Story status: active;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/After_Shaft","2026-09-13","LOW","NO","","gta 6 after shaft;after shaft gta 6;gta 6 vehicleparts","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
"business","Air Herler","","air-herler","airline","airline","Air Herler is a airline listed for GTA 6 on the GTA Fandom wiki.","Air Herler appears on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a airline. The wiki lists it across 3 places in the series: Los Santos International Airport, Los Santos, San Andreas. None of those entries name a GTA 6 location, so the GTA 6 listing rests on the wiki alone. Vehicles tied to it are given as Aircraft, Jet, Shamal, Numerous static aircraft. The wiki marks its story status as active. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: airline;Listed locations: Los Santos International Airport, Los Santos, San Andreas;Associated vehicles: Aircraft, Jet, Shamal, Numerous static aircraft;Story status: active;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Air_Herler","2026-09-13","LOW","NO","Aircraft;Jet;Shamal;Numerous static aircraft","gta 6 air herler;air herler gta 6;gta 6 airline","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
"business","Airaide","","airaide","electronics","electronics","Airaide is a electronics listed for GTA 6 on the GTA Fandom wiki.","Airaide appears on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a electronics. The wiki marks its story status as active. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: electronics;Story status: active;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Airaide","2026-09-13","LOW","NO","","gta 6 airaide;airaide gta 6;gta 6 electronics","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
"business","Airgator Airboats","","airgator-airboats","vehicles","vehicles","Airgator Airboats are vehicless listed for GTA 6 on the GTA Fandom wiki.","Airgator Airboats appear on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a vehicles. The wiki marks its story status as active. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: vehicles;Story status: active;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Airgator_Airboats","2026-09-13","LOW","NO","","gta 6 airgator airboats;airgator airboats gta 6;gta 6 vehicles","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
"business","Albany","","albany","vehicles","vehicles","Albany is a vehicles listed for GTA 6 on the GTA Fandom wiki.","Albany appears on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a vehicles. The wiki lists it across 3 places in the series: Mosley Auto Service, Los Santos, San Andreas. None of those entries name a GTA 6 location, so the GTA 6 listing rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: vehicles;Listed locations: Mosley Auto Service, Los Santos, San Andreas;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Albany","2026-09-13","LOW","NO","","gta 6 albany;albany gta 6;gta 6 vehicles","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
"business","Allied Crystal","","allied-crystal","agriculture","agriculture","Allied Crystal is a agriculture listed for GTA 6 on the GTA Fandom wiki.","Allied Crystal appears on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a agriculture. The wiki lists it across 3 places in the series: Allied Crystal Sugar Refinery, Ambrosia, Leonida. Leonida, Key Lento and Vice City are the GTA 6 entries in that list. The wiki marks its story status as active. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: agriculture;Listed locations: Allied Crystal Sugar Refinery, Ambrosia, Leonida;Story status: active;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Allied_Crystal","2026-09-13","LOW","NO","","gta 6 allied crystal;allied crystal gta 6;gta 6 agriculture","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
"business","Ambrosia County Sheriff","","ambrosia-county-sheriff","police","police","Ambrosia County Sheriff is a police listed for GTA 6 on the GTA Fandom wiki.","Ambrosia County Sheriff appears on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a police. The wiki lists it across 2 places in the series: Ambrosia County, Leonida. Leonida, Key Lento and Vice City are the GTA 6 entries in that list. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: police;Listed locations: Ambrosia County, Leonida;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Ambrosia_County_Sheriff","2026-09-13","LOW","NO","","gta 6 ambrosia county sheriff;ambrosia county sheriff gta 6;gta 6 police","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
"business","American Football Federation","AFF","american-football-federation","sportsleague","sportsleague","American Football Federation is a sportsleague listed for GTA 6 on the GTA Fandom wiki.","American Football Federation appears on the GTA Fandom wiki as a Grand Theft Auto VI business. The wiki describes it as a sportsleague. It is also called AFF. The wiki lists it across 1 place in the series: United States of America. None of those entries name a GTA 6 location, so the GTA 6 listing rests on the wiki alone. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Business type: sportsleague;Listed locations: United States of America;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/American_Football_Federation","2026-09-13","LOW","NO","","gta 6 american football federation;american football federation gta 6;gta 6 sportsleague","Data from outlawdb (https://outlawdb.com/en/gta-6/businesses), derived from GTA Wiki, CC BY-SA 3.0."
