"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"character","Jason Duval","Jason;Duval","jason-duval","character","protagonist","Jason Duval is a Leonida Keys criminal associate whose plans become intertwined with Lucia Caminos after they meet.","Jason grew up around grifters and crooks and later spent time in the Army while trying to leave his troubled teenage years behind. After his Army stint, he settled in the Leonida Keys and began working for local drug runners. Rockstar describes him as wanting an easier life despite repeatedly facing greater difficulties. His circumstances change after meeting Lucia Caminos, with their relationship forming the center of the game's published story premise. Jason also lives rent-free at a property owned by Brian Heder while helping Brian with local shakedowns. Rockstar's official material presents Jason as one of the two central characters in Grand Theft Auto VI.","Former Army serviceman;Works for local drug runners;Lives in the Leonida Keys;Associated with Brian Heder;Central relationship with Lucia Caminos","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","YES","Lucia Caminos;Cal Hampton;Brian Heder;Leonida Keys","Jason Duval GTA 6;Jason GTA VI;Jason Duval character;GTA 6 Jason;Jason Leonida Keys;Jason and Lucia;Jason Duval Army;Jason Duval Brian Heder",""
"character","Lucia Caminos","Lucia;Caminos","lucia-caminos","character","protagonist","Lucia Caminos is a recently released prisoner determined to improve her life through calculated decisions and criminal opportunity.","Lucia was taught to fight by her father from an early age. According to Rockstar, her efforts to protect her family eventually led to her imprisonment in Leonida Penitentiary, from which she was released through what the official biography describes as sheer luck. Lucia wants the better life her mother has dreamed of since the family's time in Liberty City. Rather than waiting for circumstances to improve, she intends to act directly and make strategic choices. Rockstar describes her as fresh out of prison and committed to changing the odds in her favor. Her meeting with Jason Duval may provide a path toward the life she wants, making their relationship central to the published story premise.","Released from Leonida Penitentiary;Taught to fight by her father;Wants a better life;Mother dreamed of that life since Liberty City;Central relationship with Jason Duval","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","YES","Jason Duval;Leonida Penitentiary","Lucia Caminos GTA 6;Lucia GTA VI;Lucia Caminos character;GTA 6 Lucia;Lucia and Jason;Lucia prison;Lucia Caminos mother",""
"character","Cal Hampton","Cal;Hampton","cal-hampton","character","supporting","Cal Hampton is Jason's friend and Brian Heder's associate who spends much of his time monitoring communications from home.","Cal is described by Rockstar as Jason's friend and a fellow associate of Brian Heder. He feels safest staying at home, where he listens to Coast Guard communications while drinking beer and browsing privately online. His official biography repeatedly emphasizes his suspicious and conspiracy-focused worldview, including his question about whether everything on the internet could be true. Rockstar places Cal at what it calls the low tide of America and says he is comfortable there, contrasting his outlook with Jason's larger ambitions. The published material establishes Cal's personal habits and relationships but does not specify a detailed mission role or broader story outcome.","Jason's friend;Brian Heder's associate;Monitors Coast Guard communications;Homebody;Conspiracy-minded","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","YES","Jason Duval;Brian Heder;Leonida Keys","Cal Hampton GTA 6;Cal Hampton GTA VI;Cal GTA 6 character;Cal Hampton Jason;Cal Hampton Brian Heder;Cal Coast Guard comms",""
"character","Boobie Ike","Boobie;Ike","boobie-ike","character","supporting","Boobie Ike is a prominent Vice City figure who built a business empire spanning real estate, a strip club, and recording.","Rockstar describes Boobie Ike as a local Vice City legend who successfully turned his time in the streets into a legitimate business empire. His interests include real estate, a strip club, and a recording studio, and his official profile presents him as confident and commercially minded. Boobie is particularly invested in his partnership with Dre'Quan Priest through Only Raw Records, where the pair are looking for a successful hit. Rockstar's biography also states that money from the club supports the studio while drug money funded the broader enterprise. The character is therefore directly connected to Vice City's nightlife, real estate, and music businesses in the published Grand Theft Auto VI material.","Vice City figure;Real estate interests;Owns or operates a strip club;Connected to a recording studio;Partner of Dre'Quan Priest","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","YES","Dre'Quan Priest;Real Dimez;Only Raw Records;Vice City","Boobie Ike GTA 6;Boobie Ike GTA VI;Boobie Ike character;GTA 6 Boobie;Boobie Ike strip club;Boobie Ike Only Raw Records",""
"character","Dre'Quan Priest","Dre'Quan;DreQuan Priest;Dre Quan Priest","drequan-priest","character","supporting","Dre'Quan Priest is a Vice City hustler pursuing a music career through Only Raw Records and newly signed performers.","Dre'Quan Priest is presented by Rockstar as someone who was always more interested in hustling than becoming a conventional gangster. Even while dealing on the streets to make ends meet, his stated goal was to enter the music business. Dre'Quan works with Boobie Ike through Only Raw Records and is focused on turning the label into a viable presence in Vice City's music scene. Rockstar's biography says that he has signed the Real Dimez duo, potentially allowing him to spend less time booking acts into Boobie's strip club and more time developing the label. His published character material directly connects him to Boobie Ike, Real Dimez, and the local music industry.","Hustler rather than gangster;Focused on music;Works with Boobie Ike;Part of Only Raw Records;Signed Real Dimez","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","YES","Boobie Ike;Real Dimez;Bae-Luxe;Roxy;Only Raw Records","DreQuan Priest GTA 6;Dre'Quan Priest GTA VI;Dre Quan Priest character;GTA 6 DreQuan;DreQuan Only Raw Records;DreQuan Real Dimez",""
"character","Bae-Luxe","Bae Luxe;Real Dimez","bae-luxe","character","supporting","Bae-Luxe is one half of Real Dimez, a rap duo and social-media act that grew from street hustling into music.","Rockstar identifies Bae-Luxe as one of the two members of Real Dimez alongside Roxy. The pair have been friends since high school and turned their experience shaking down local dealers into income through rap tracks and a persistent social-media presence. Their early hit with local rapper DWNPLY brought the duo greater attention, and Rockstar says that five years and a great deal of trouble later they have signed to Only Raw Records. Bae-Luxe is therefore officially established as a member of the Vice City music act Real Dimez, although Rockstar's public character profile presents the duo together rather than publishing separate biographies for each member. No additional personal biography is provided in the cited official material.","Member of Real Dimez;Friends with Roxy since high school;Rap performer;Social-media presence;Signed to Only Raw Records","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","YES","Roxy;Real Dimez;Dre'Quan Priest;DWNPLY;Only Raw Records","Bae-Luxe GTA 6;Bae Luxe GTA VI;Bae-Luxe character;GTA 6 Bae Luxe;Bae-Luxe Real Dimez;Bae Luxe Roxy","Rockstar names Bae-Luxe and Roxy together within the Real Dimez profile rather than providing separate full biographies."
"character","Roxy","Roxy;Real Dimez","roxy","character","supporting","Roxy is one half of Real Dimez, the rap duo she formed with longtime friend Bae-Luxe and later signed to Only Raw Records.","Rockstar identifies Roxy as one of the two members of Real Dimez alongside Bae-Luxe. The official biography says the two have been friends since high school and developed a music and social-media business from their experience shaking down local dealers. Their early hit single with local rapper DWNPLY helped raise their profile. Rockstar then states that after five years and substantial trouble, the duo signed to Only Raw Records and are seeking another breakthrough. Roxy is consequently an officially named member of Real Dimez and part of the game's published Vice City music scene. The available official biography describes the two women together and does not provide a separate detailed personal history for Roxy.","Member of Real Dimez;Friends with Bae-Luxe since high school;Rap performer;Social-media presence;Signed to Only Raw Records","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","YES","Bae-Luxe;Real Dimez;Dre'Quan Priest;DWNPLY;Only Raw Records","Roxy GTA 6;Roxy GTA VI;Roxy character;GTA 6 Roxy;Roxy Real Dimez;Roxy Bae-Luxe","Rockstar names Bae-Luxe and Roxy together within the Real Dimez profile rather than providing separate full biographies."
"character","Raul Bautista","Raul;Bautista","raul-bautista","character","supporting","Raul Bautista is a seasoned bank robber whose confidence and recklessness drive him toward increasingly risky scores.","Rockstar describes Raul Bautista as an experienced bank robber defined by confidence, charm, and cunning. His published biography says he is continually searching for talent willing to take major risks in pursuit of major rewards. Rockstar also characterizes him as reckless, with the stakes increasing as each score becomes more ambitious. The official profile frames Raul as a professional who adapts when circumstances change and suggests that his crew will eventually face decisions about escalating or withdrawing. These details establish Raul's occupation, temperament, and relationship to criminal crews without revealing an unannounced mission structure. Rockstar's public character material confirms him as part of the Grand Theft Auto VI supporting cast.","Seasoned bank robber;Confident and charming;Seeks recruits willing to take risks;Reckless;Leads or works with a crew","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","YES","Jason Duval;Lucia Caminos;Ambrosia","Raul Bautista GTA 6;Raul Bautista GTA VI;Raul GTA 6 character;Raul bank robber GTA 6;Raul Bautista crew",""
"character","Brian Heder","Brian;Heder","brian-heder","character","supporting","Brian Heder is an established Keys drug runner who operates from a boat yard and employs Jason for local criminal work.","Brian Heder is described by Rockstar as a classic drug runner from the golden age of smuggling in the Leonida Keys. He continues moving product through his boat yard with his third wife, Lori, while relying on other people to handle much of the dirty work. Brian allows Jason Duval to live rent-free at one of his properties in exchange for helping with local shakedowns and spending time around Lori. Rockstar's profile therefore establishes Brian as an older criminal figure connected to drug trafficking, a boat-yard operation, Jason, and Cal Hampton. The official material also names Lori as his third wife, making their household part of Jason's life before his partnership with Lucia develops.","Drug runner;Operates a boat yard;Based in the Keys;Third wife named Lori;Employs Jason for local work","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","YES","Jason Duval;Cal Hampton;Lori Heder;Leonida Keys","Brian Heder GTA 6;Brian Heder GTA VI;Brian character GTA 6;Brian Heder boat yard;Brian Jason Duval;Brian Heder Lori",""
"character","Lori Heder","Lori","lori-heder","character","minor","Lori Heder is Brian Heder's third wife and is associated with his boat-yard drug-running operation in the Leonida Keys.","Rockstar officially names Lori in Brian Heder's character profile, identifying her as Brian's third wife. The same biography states that Brian continues moving product through his boat yard with Lori and mentions her sangria in connection with Jason's visits to Brian's property. Lori does not have a separate character biography on the official Grand Theft Auto VI people page cited here. Her existence and relationship to Brian are nevertheless directly documented by Rockstar's published character material. Because Rockstar has not supplied a standalone biography, no further occupation, background, or story function should be added beyond those explicit details. The available evidence establishes Lori as a named supporting character connected to Brian's criminal operation and Jason's circumstances.","Brian Heder's third wife;Associated with Brian's boat yard;Named in Brian Heder's official biography;Connected to Jason through Brian's property","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/VI/only-in-leonida","2026-05-06","HIGH","NO","Brian Heder;Jason Duval;Leonida Keys","Lori Heder GTA 6;Lori Heder GTA VI;Lori GTA 6;Lori Brian Heder;Brian Heder wife GTA 6","Rockstar officially names Lori in Brian Heder's biography but does not provide a separate dedicated character profile."
