"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"landmark","Vice City","Vice City, USA","vice-city","city","metropolitan area","Vice City is the main city of Grand Theft Auto VI, set within the fictional state of Leonida.","Vice City is Rockstar's contemporary reimagining of the setting first introduced in Grand Theft Auto: Vice City (2002). It is the central urban location of Grand Theft Auto VI, forming the core of the state of Leonida. Rockstar confirmed the city and its neon-soaked, Miami-inspired identity in the first official trailer on 5 December 2023, and it has anchored every piece of official marketing since, including Trailer 2 and the Netflix Extended Look.","Confirmed in Trailer 1 (Dec 2023); modern reimagining of GTA: Vice City (2002); modeled on Miami/South Florida; part of the state of Leonida; central hub of the game's map.","Miami, Florida","Trailer 1","2023-12-05","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/newswire/article/8978kok9385a82/grand-theft-auto-vi-watch-trailer-1-now","2023-12-05","HIGH","YES","Leonida;Downtown Vice City;Ocean Beach;South Beach","gta 6 vice city;gta vi vice city;is vice city based on miami;gta 6 map;gta 6 setting;grand theft auto 6 city",""
"landmark","Leonida","","leonida","state","fictional state","Leonida is the fictional U.S. state in which Grand Theft Auto VI is set, home to Vice City and its surrounding regions.","Leonida is Rockstar's fictional analogue for the state of Florida and is the overarching setting of Grand Theft Auto VI. It was named in the official Trailer 1 Newswire announcement on 5 December 2023, which described the game as heading to 'the state of Leonida, home to the neon-soaked streets of Vice City and beyond.' Since then, Rockstar has used official material to name several regions inside Leonida, including Leonida Keys, Port Gellhorn, Grassrivers, Ambrosia and Mount Kalaga National Park.","Fictional analogue of Florida; named directly in the Trailer 1 Newswire post; contains Vice City plus rural and coastal regions; first named 5 Dec 2023.","Florida, United States","Trailer 1","2023-12-05","OFFICIAL_CONFIRMED","TIER_1_OFFICIAL","https://www.rockstargames.com/newswire/article/8978kok9385a82/grand-theft-auto-vi-watch-trailer-1-now","2023-12-05","HIGH","NO","Vice City;Leonida Keys;Port Gellhorn;Grassrivers;Ambrosia;Mount Kalaga National Park","gta 6 leonida;gta vi state name;is leonida based on florida;gta 6 map state;grand theft auto 6 leonida",""
"landmark","Vice City International Airport","VCIA","vice-city-international-airport","transport","airport","The main airport serving Vice City, with its control tower and radar installation visible in the first official trailer.","Vice City International Airport appears in the background of shots in Grand Theft Auto VI's first trailer, identifiable by its air-traffic-control tower and radar installation near the Vice City sign. Press outlets covering the trailer frame-by-frame describe it as the primary airport serving the Vice-Dale County area of Leonida. Rockstar has not published a dedicated Newswire post or screenshot naming the airport directly, so its exact name and role rely on trailer visuals interpreted by press and community sources.","Visible in Trailer 1 background; control tower and radar dish identifiable; described by press as serving Vice-Dale County; not yet confirmed by a dedicated Rockstar post.","Miami International Airport","Trailer 1","2023-12-05","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://gta6locations.com/locations/vice-city-international-airport/","2026-01-01","MEDIUM","NO","Vice City;Downtown Vice City","gta 6 airport;vice city international airport;gta 6 vice city airport location;grand theft auto 6 airport",""
"landmark","Leonida Penitentiary","","leonida-penitentiary","institution","prison","The state prison in Leonida where playable character Lucia Caminos is held at the start of Grand Theft Auto VI.","Leonida Penitentiary is named directly in Rockstar's official character biography for Lucia Caminos, one of the two protagonists of Grand Theft Auto VI. According to that bio, Lucia is incarcerated there at the start of the game before the story's central Bonnie-and-Clyde narrative begins. Because it comes from Rockstar's own character description rather than a leak or fan guess, it is one of the more reliably sourced named locations in Leonida, even though it has not yet been shown on screen in trailer footage.","Named in Rockstar's official Lucia Caminos character bio; where Lucia is held at the game's opening; not yet shown visually in trailer footage; location within Leonida not yet mapped.","","Not Yet Shown","","OFFICIAL_CONFIRMED","TIER_2_MAJOR_PRESS","https://screenrant.com/gta-6-leonida-vice-city-every-location-revealed/","2026-01-01","MEDIUM","NO","Lucia Caminos","gta 6 leonida penitentiary;gta 6 prison;lucia gta 6 prison;grand theft auto 6 leonida penitentiary",""
"landmark","Vice City Metro","","vice-city-metro","transport","transit system","A metro/subway system depicted in official Grand Theft Auto VI material, with stations visible in trailer footage.","A metro system appears in official Grand Theft Auto VI trailer material, with at least one station identifiable in shots of Vice City. Press coverage confirms the metro's visual presence but notes that Rockstar has not clarified whether it will function as rideable transit, a fast-travel option, or purely as background set dressing. As with several transit-related locations, the existence is confirmed but the gameplay role is not.","Metro stations visible in official trailer footage; gameplay function (rideable, fast travel, or set dressing) not confirmed; part of Vice City's public transit backdrop.","Miami-Dade Metrorail/Metromover","Trailer 2","2026-05-06","PRESS_REPORTED","TIER_2_MAJOR_PRESS","https://screenrant.com/gta-6-leonida-vice-city-every-location-revealed/","2026-01-01","MEDIUM","NO","Vice City;Downtown Vice City","gta 6 metro;vice city metro station;can you ride the metro in gta 6;grand theft auto 6 subway",""
"landmark","Leonida Keys","","leonida-keys","region","island chain","A chain of connected islands stretching along Leonida's southeast coast, Rockstar's version of the Florida Keys.","Leonida Keys is one of the named regions of Leonida confirmed through official Grand Theft Auto VI material. Press breakdowns of trailer and map material describe it as a chain of islands connected by causeways, extending further east than early fan expectations, echoing the real Florida Keys. It is one of several outlying regions, alongside Port Gellhorn, Grassrivers, Ambrosia and Mount Kalaga National Park, that Rockstar has used to expand Leonida beyond Vice City itself.","Chain of connected islands off Leonida's southeast coast; based on the Florida Keys; confirmed as a named region in official material; extends the map east of Vice City.","Florida Keys","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_2_MAJOR_PRESS","https://www.gtabase.com/gta-6/map/","2026-01-01","MEDIUM","NO","Leonida;Vice City","gta 6 leonida keys;florida keys gta 6;gta vi leonida keys map;grand theft auto 6 keys",""
"landmark","Port Gellhorn","","port-gellhorn","region","industrial coastal town","An industrial port town on Leonida's coast, connected to Vice City by highways and rail.","Port Gellhorn is a named region of Leonida confirmed through official Grand Theft Auto VI material and detailed in press map breakdowns. It is described as an industrial coastal settlement with shipping and rail infrastructure connecting it to the wider state, giving it a working-class, blue-collar identity distinct from Vice City's resort image.","Industrial coastline; connected to the rest of Leonida by highways and railways; one of Leonida's named outlying regions; distinct blue-collar identity versus Vice City.","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_2_MAJOR_PRESS","https://www.gtabase.com/gta-6/map/","2026-01-01","MEDIUM","NO","Leonida;Grassrivers","gta 6 port gellhorn;port gellhorn location;gta vi port gellhorn map;grand theft auto 6 port",""
"landmark","Grassrivers","","grassrivers","region","wetland","A large wetland region of swamps, mangroves and waterways in Leonida, based on the Florida Everglades.","Grassrivers is one of Leonida's named regions, confirmed through official Grand Theft Auto VI material and described in detail by press outlets covering the game's map. It is portrayed as one of the largest natural areas in the state, consisting of swamps, mangroves, rivers, marshes and wildlife habitat, drawing an explicit comparison to the real Everglades in south Florida.","Swamp and wetland region; includes mangroves, rivers, marshes and hidden waterways; based on the Florida Everglades; one of the largest natural regions on the map.","Florida Everglades","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_2_MAJOR_PRESS","https://www.gtabase.com/gta-6/map/","2026-01-01","MEDIUM","NO","Leonida;Port Gellhorn","gta 6 grassrivers;gta 6 everglades;is grassrivers based on the everglades;grand theft auto 6 swamp",""
"landmark","Ambrosia","","ambrosia","region","rural/industrial town","A rural, industrial region beside Lake Leonida, built around sugar refining and biker culture.","Ambrosia is a named region of Leonida confirmed through official Grand Theft Auto VI material. Press coverage situates it beside Lake Leonida, the large freshwater body near the center of the state, and describes it as rural and industrial in character, built around sugar refineries and biker culture rather than coastline or skyline, giving Leonida a working interior distinct from Vice City.","Sits beside Lake Leonida; rural and industrial identity; associated with sugar refineries and biker culture; contrasts with Vice City's coastal resort image.","","Trailer 2","2026-05-06","OFFICIAL_CONFIRMED","TIER_2_MAJOR_PRESS","https://www.gtabase.com/gta-6/map/","2026-01-01","MEDIUM","NO","Leonida;Mount Kalaga National Park","gta 6 ambrosia;lake leonida gta 6;gta vi ambrosia location;grand theft auto 6 ambrosia",""
"landmark","Mount Kalaga National Park","Mount Kalaga","mount-kalaga-national-park","region","national park","A forested, mountainous national park on Leonida's northern border with canyons, rivers and hiking trails.","Mount Kalaga National Park is a named region confirmed through official Grand Theft Auto VI material, sitting on Leonida's northern border. Press describes it as the closest thing in Grand Theft Auto VI to Red Dead Redemption-style terrain, replacing coastline with forests, canyons, rivers and hiking trails. A Crest-brand kayak has been identified in an official screenshot and postcard video associated with this park on Rockstar's promotional site.","Occupies Leonida's northern border; forests, canyons, rivers and hiking trails; compared to Red Dead Redemption terrain; a Crest Kayaks product appears in an official screenshot set here.","","Screenshots","2026-01-01","OFFICIAL_CONFIRMED","TIER_2_MAJOR_PRESS","https://www.gtabase.com/gta-6/map/","2026-01-01","MEDIUM","YES","Leonida;Ambrosia;Crest","gta 6 mount kalaga;mount kalaga national park gta 6;gta vi mountains;grand theft auto 6 national park",""
